Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size
bmi,74333,-3,7,BMI,191031_NVI12_D31,False
holo,0,0,6,BMI,191031_NVI12_D31,False
frames,85547,0,1,HoloVTA_pretrain,191031_NVI12_D31,False
reward,100,0,5,HoloVTA_pretrain,191031_NVI12_D31,False
bmi,84224,-2,7,HoloVTA_pretrain,191031_NVI12_D31,False
holo,117,-3,6,HoloVTA_pretrain,191031_NVI12_D31,False
frames,2700,0,1,holostim_seq,191031_NVI12_D31,False
reward,0,0,5,holostim_seq,191031_NVI12_D31,False
bmi,2700,-1,1,holostim_seq,191031_NVI12_D31,False
holo,40,0,6,holostim_seq,191031_NVI12_D31,False
frames,27000,0,1,baseline,191031_NVI13_D31,False
reward,0,0,5,baseline,191031_NVI13_D31,False
bmi,26545,-1,7,baseline,191031_NVI13_D31,False
holo,0,0,6,baseline,191031_NVI13_D31,False
frames,75600,0,1,BMI,191031_NVI13_D31,False
reward,23,0,5,BMI,191031_NVI13_D31,False
bmi,74444,-2,7,BMI,191031_NVI13_D31,False
holo,0,0,6,BMI,191031_NVI13_D31,False
frames,77184,0,1,HoloVTA_pretrain,191031_NVI13_D31,False
reward,100,0,5,HoloVTA_pretrain,191031_NVI13_D31,False
bmi,74979,-1,7,HoloVTA_pretrain,191031_NVI13_D31,False
holo,115,-5,6,HoloVTA_pretrain,191031_NVI13_D31,False
frames,2493,0,1,holostim_seq,191031_NVI13_D31,False
reward,0,0,5,holostim_seq,191031_NVI13_D31,False
bmi,2493,-2,1,holostim_seq,191031_NVI13_D31,False
holo,37,0,6,holostim_seq,191031_NVI13_D31,False
frames,27000,0,1,baseline,191102_NVI12_D33,False
reward,0,0,5,baseline,191102_NVI12_D33,False
bmi,25919,-2,7,baseline,191102_NVI12_D33,False
holo,0,0,6,baseline,191102_NVI12_D33,False
frames,75600,0,1,BMI,191102_NVI12_D33,False
reward,13,0,5,BMI,191102_NVI12_D33,False
bmi,74332,-2,7,BMI,191102_NVI12_D33,False
holo,0,0,6,BMI,191102_NVI12_D33,False
frames,85049,0,1,HoloVTA_pretrain,191102_NVI12_D33,False
reward,88,0,5,HoloVTA_pretrain,191102_NVI12_D33,False
bmi,83772,-2,7,HoloVTA_pretrain,191102_NVI12_D33,False
holo,121,1,6,HoloVTA_pretrain,191102_NVI12_D33,False
frames,2400,0,1,holostim_seq,191102_NVI12_D33,False
reward,0,0,5,holostim_seq,191102_NVI12_D33,False
bmi,2400,-1,1,holostim_seq,191102_NVI12_D33,False
holo,36,0,6,holostim_seq,191102_NVI12_D33,False
frames,27000,0,1,baseline,191102_NVI13_D33,False
reward,0,0,5,baseline,191102_NVI13_D33,False
bmi,25715,-1,7,baseline,191102_NVI13_D33,False
holo,0,0,6,baseline,191102_NVI13_D33,False
frames,75600,0,1,BMI,191102_NVI13_D33,False
reward,7,0,5,BMI,191102_NVI13_D33,False
bmi,73987,-2,7,BMI,191102_NVI13_D33,False
holo,0,0,6,BMI,191102_NVI13_D33,False
frames,75634,0,1,HoloVTA_pretrain,191102_NVI13_D33,False
reward,104,0,5,HoloVTA_pretrain,191102_NVI13_D33,False
bmi,73782,-3,7,HoloVTA_pretrain,191102_NVI13_D33,False
holo,108,-102,6,HoloVTA_pretrain,191102_NVI13_D33,False
frames,2800,0,1,holostim_seq,191102_NVI13_D33,False
reward,0,0,5,holostim_seq,191102_NVI13_D33,False
bmi,2800,1,1,holostim_seq,191102_NVI13_D33,False
holo,42,0,6,holostim_seq,191102_NVI13_D33,False
frames,27000,0,1,baseline,191102_NVI16_D33,False
reward,0,0,5,baseline,191102_NVI16_D33,False
bmi,26498,-2,7,baseline,191102_NVI16_D33,False
holo,0,0,6,baseline,191102_NVI16_D33,False
frames,75600,0,1,BMI,191102_NVI16_D33,False
reward,26,0,5,BMI,191102_NVI16_D33,False
bmi,74467,-3,7,BMI,191102_NVI16_D33,False
holo,0,0,6,BMI,191102_NVI16_D33,False
frames,76196,0,1,HoloVTA_pretrain,191102_NVI16_D33,False
reward,107,0,5,HoloVTA_pretrain,191102_NVI16_D33,False
bmi,73428,-1,7,HoloVTA_pretrain,191102_NVI16_D33,False
holo,118,-92,6,HoloVTA_pretrain,191102_NVI16_D33,False
frames,3000,0,1,holostim_seq,191102_NVI16_D33,False
reward,0,0,5,holostim_seq,191102_NVI16_D33,False
bmi,3000,0,1,holostim_seq,191102_NVI16_D33,False
holo,44,0,6,holostim_seq,191102_NVI16_D33,False
frames,27000,0,1,baseline,191104_NVI12_D35,False
reward,0,0,5,baseline,191104_NVI12_D35,False
bmi,26507,-2,7,baseline,191104_NVI12_D35,False
holo,0,0,6,baseline,191104_NVI12_D35,False
frames,75600,0,1,BMI,191104_NVI12_D35,False
reward,7,0,5,BMI,191104_NVI12_D35,False
bmi,74277,-3,7,BMI,191104_NVI12_D35,False
holo,0,0,6,BMI,191104_NVI12_D35,False
frames,86797,0,1,HoloVTA_pretrain,191104_NVI12_D35,False
reward,100,0,5,HoloVTA_pretrain,191104_NVI12_D35,False
bmi,85512,-2,7,HoloVTA_pretrain,191104_NVI12_D35,False
holo,120,-90,6,HoloVTA_pretrain,191104_NVI12_D35,False
frames,1900,0,1,holostim_seq,191104_NVI12_D35,False
reward,0,0,5,holostim_seq,191104_NVI12_D35,False
bmi,1900,-1,1,holostim_seq,191104_NVI12_D35,False
holo,28,0,6,holostim_seq,191104_NVI12_D35,False
frames,27000,0,1,baseline,191104_NVI16_D35,False
reward,0,0,5,baseline,191104_NVI16_D35,False
bmi,26321,-3,7,baseline,191104_NVI16_D35,False
holo,0,0,6,baseline,191104_NVI16_D35,False
frames,75600,0,1,BMI,191104_NVI16_D35,False
reward,5,0,5,BMI,191104_NVI16_D35,False
bmi,74190,-2,7,BMI,191104_NVI16_D35,False
holo,0,0,6,BMI,191104_NVI16_D35,False
frames,88835,0,1,HoloVTA_pretrain,191104_NVI16_D35,False
reward,117,0,5,HoloVTA_pretrain,191104_NVI16_D35,False
bmi,87543,-2,7,HoloVTA_pretrain,191104_NVI16_D35,False
holo,128,-82,6,HoloVTA_pretrain,191104_NVI16_D35,False
frames,2100,0,1,holostim_seq,191104_NVI16_D35,False
